Bug ID,chunk
268986,"Product: Platform
Component: UI
Severity: normal
Priority: P3
Summary: Each ActionFactory should specify its commandId
Resolution: FIXED"
81674,"Product: Platform
Component: UI
Severity: normal
Priority: P2
Summary: [Progress] NPE in JobErrorDialog
Resolution: FIXED"
178246,"Product: JDT
Component: Debug
Severity: normal
Priority: P3
Summary: inspect/all instances popup should expand first element
Resolution: FIXED"
14143,"Product: Platform
Component: Debug
Severity: normal
Priority: P1
Summary: Breakpoints View appears with ""Go to file"" button enabled regardless of breakpoints
Resolution: FIXED"
31293,"Product: JDT
Component: UI
Severity: minor
Priority: P2
Summary: substandard language in source actions if file is read-only
Resolution: FIXED"
85103,"Product: Platform
Component: UI
Severity: major
Priority: P2
Summary: [Preferences] Poor colour choice for preference page titles
Resolution: FIXED"
100068,"Product: JDT
Component: Debug
Severity: normal
Priority: P3
Summary: CCE exception from class prepare breakpoint
Resolution: FIXED"
151838,"Product: Platform
Component: UI
Severity: normal
Priority: P2
Summary: [Markers] ArrayIndexOutOfBoundsException while queuing viewer updates
Resolution: FIXED"
308636,"Product: Platform
Component: Debug
Severity: normal
Priority: P3
Summary: Translation Question - WSW36#078
Resolution: FIXED"
175418,"Product: Platform
Component: UI
Severity: normal
Priority: P3
Summary: [DataBinding] TreePath moved to internal package
Resolution: FIXED"
255932,"Product: JDT
Component: UI
Severity: enhancement
Priority: P2
Summary: [api] Make RefactoringSaveHelper API
Resolution: FIXED"
120629,"Product: JDT
Component: UI
Severity: normal
Priority: P3
Summary: No provider name for org.eclipse.jdt.core.manipulation plug-in
Resolution: FIXED"
148965,"Product: JDT
Component: Debug
Severity: normal
Priority: P2
Summary: Performance problem in detail pane when there is a lot of plugins.
Resolution: FIXED"
87400,"Product: Platform
Component: UI
Severity: major
Priority: P2
Summary: Unable to open synchronize view context menu
Resolution: FIXED"
481792,"Product: PDE
Component: Build
Severity: normal
Priority: P3
Summary: PDE feature does not require JDT feature
Resolution: FIXED"
33897,"Product: Platform
Component: UI
Severity: enhancement
Priority: P2
Summary: [Import/Export] Export to .tar.gz or .tar.bz2
Resolution: FIXED"
378723,"Product: Platform
Component: IDE
Severity: normal
Priority: P3
Summary: [Mac] File proxy in window title bar not available any more
Resolution: FIXED"
142936,"Product: JDT
Component: Text
Severity: normal
Priority: P2
Summary: [implementation] Possible NPE in JavaEditor.adjustHighlightRange
Resolution: FIXED"
70503,"Product: Platform
Component: UI
Severity: major
Priority: P1
Summary: [Commands] ctrl+c, ctrl+v, ctrl+x accelerators dont work in some scenarios
Resolution: FIXED"
97786,"Product: Platform
Component: UI
Severity: normal
Priority: P3
Summary: [Viewers] - Lazy Virtual Table View Test - duplicate items appear after delete
Resolution: FIXED"
398235,"Product: PDE
Component: UI
Severity: normal
Priority: P3
Summary: running PluginModelManager.UpdateClasspathsJob causes race condition, locks
Resolution: FIXED"
21769,"Product: JDT
Component: Debug
Severity: normal
Priority: P3
Summary: Invalid code index stepping in junit code
Resolution: FIXED"
434134,"Product: Platform
Component: UI
Severity: normal
Priority: P1
Summary: [CSS] Active part's 2nd line toolbar background color looks wrong
Resolution: FIXED"
436247,"Product: Platform
Component: UI
Severity: normal
Priority: P3
Summary: [Themes] ""Colors and Fonts"" pref page fails with NPE when running with '-cssTheme none'
Resolution: FIXED"
94562,"Product: JDT
Component: Text
Severity: normal
Priority: P2
Summary: AFE when switching between editor not on the build path
Resolution: FIXED"
309415,"Product: JDT
Component: Text
Severity: normal
Priority: P3
Summary: [implementation][nls tooling] DBCS3.6: 'Find Broken Externalized Strings' not handle constants with CJK Ext-B.
Resolution: FIXED"
467309,"Product: Platform
Component: Debug
Severity: major
Priority: P1
Summary: NPE in LaunchViewBreadcrumb.dispose
Resolution: FIXED"
216838,"Product: PDE
Component: UI
Severity: normal
Priority: P3
Summary: CCE in help editor
Resolution: FIXED"
299082,"Product: Platform
Component: User Assistance
Severity: major
Priority: P3
Summary: [Intro] label attribute of tag link doesn't substitute variables like $varName$
Resolution: FIXED"
25914,"Product: JDT
Component: UI
Severity: major
Priority: P1
Summary: Method signature refactor does not update Outline
Resolution: FIXED"
268393,"Product: JDT
Component: Debug
Severity: normal
Priority: P3
Summary: Debugger not letting me change value on null String
Resolution: FIXED"
63685,"Product: Platform
Component: Ant
Severity: enhancement
Priority: P3
Summary: Customize what happens on each build kind when using external builders and Ant
Resolution: FIXED"
212758,"Product: PDE
Component: UI
Severity: enhancement
Priority: P3
Summary: Show list with running plug-ins that affect import
Resolution: FIXED"
143855,"Product: Platform
Component: Compare
Severity: normal
Priority: P1
Summary: class org.eclipse.compare.internal.CompareNavigator should be made public
Resolution: FIXED"
89548,"Product: Platform
Component: Debug
Severity: normal
Priority: P2
Summary: no message for native methods in var view
Resolution: FIXED"
184991,"Product: JDT
Component: UI
Severity: major
Priority: P3
Summary: [package explorer] RuntimeException on startup with Project Explorer open
Resolution: FIXED"
184779,"Product: Platform
Component: UI
Severity: normal
Priority: P3
Summary: [QuickAccess] ClassCastException in quick access
Resolution: FIXED"
199799,"Product: Platform
Component: UI
Severity: normal
Priority: P3
Summary: [DataBinding] 3.3.1: JavaBeanObservableValue may cause NPE when used with ComputedValue
Resolution: FIXED"
11407,"Product: Platform
Component: UI
Severity: normal
Priority: P2
Summary: [Preferences] ScopedPreferenceStore#needsSaving always returns true
Resolution: FIXED"
75273,"Product: Platform
Component: Text
Severity: normal
Priority: P3
Summary: [rulers] Team menus should not appear in ruler context menu
Resolution: FIXED"
467902,"Product: JDT
Component: Core
Severity: enhancement
Priority: P3
Summary: [content assist] Add InternalCompletionProposal.getBinding/setBinding
Resolution: FIXED"
72881,"Product: Platform
Component: Debug
Severity: normal
Priority: P3
Summary: LineTracker Test Failure.
Resolution: FIXED"
45239,"Product: Platform
Component: Compare
Severity: normal
Priority: P3
Summary: Show ancestor for incoming and outgoing changes
Resolution: FIXED"
19007,"Product: JDT
Component: UI
Severity: major
Priority: P1
Summary: Assertion failure when copy/pasting import statement
Resolution: FIXED"
232711,"Product: JDT
Component: UI
Severity: normal
Priority: P3
Summary: [ccp] ""copy qualified name"" should copy path to ICU
Resolution: FIXED"
39953,"Product: JDT
Component: UI
Severity: normal
Priority: P3
Summary: Navigator sort wrong in Java Source Attachment -> Workspace
Resolution: FIXED"
18276,"Product: JDT
Component: UI
Severity: normal
Priority: P1
Summary: Java Search action set is missing the name for the menu
Resolution: FIXED"
126754,"Product: Platform
Component: UI
Severity: normal
Priority: P2
Summary: [Progress] Infinit number of Building Workspace jobss
Resolution: FIXED"
56233,"Product: Platform
Component: UI
Severity: normal
Priority: P3
Summary: [EditorMgmt] Ctrl-E does not work with two Eclipse windows
Resolution: FIXED"
7974,"Product: Platform
Component: Debug
Severity: critical
Priority: P1
Summary: Stack overflow pressing ""remove all"" from Expression View
Resolution: FIXED"
16702,"Product: JDT
Component: Debug
Severity: normal
Priority: P2
Summary: Unhandled NPE in HCR manager
Resolution: FIXED"
19261,"Product: Platform
Component: Search
Severity: critical
Priority: P1
Summary: Text search should not use TEXT from team
Resolution: FIXED"
39979,"Product: Platform
Component: Debug
Severity: normal
Priority: P3
Summary: Edit button should be disabled for multiselect
Resolution: FIXED"
337347,"Product: Platform
Component: UI
Severity: enhancement
Priority: P3
Summary: Mention that IPartListener2 implementations can implement IPageChangedListener to get page change notifications
Resolution: FIXED"
331954,"Product: PDE
Component: API Tools
Severity: normal
Priority: P3
Summary: Polish Use Scan Feature II
Resolution: FIXED"
396009,"Product: Platform
Component: Releng
Severity: normal
Priority: P2
Summary: org.eclipse.sdk.examples.source version is not matching its feature.xml in 4.2.2 build M20121205-1200
Resolution: FIXED"
169458,"Product: Platform
Component: UI
Severity: critical
Priority: P1
Summary: [ErrorHandling] New status handling shows wrong severity icons
Resolution: FIXED"
21400,"Product: JDT
Component: Debug
Severity: normal
Priority: P3
Summary: Loss of member details in text of Breakpoints
Resolution: FIXED"
86174,"Product: Platform
Component: Ant
Severity: major
Priority: P3
Summary: AntSecurityException while running nested antRunner
Resolution: FIXED"
60064,"Product: Platform
Component: Debug
Severity: trivial
Priority: P3
Summary: Memory preference page is missing mnemonic
Resolution: FIXED"
10595,"Product: JDT
Component: Debug
Severity: critical
Priority: P1
Summary: Debug into non-JavaBuildPath no longer works.
Resolution: FIXED"
1751,"Product: JDT
Component: Debug
Severity: critical
Priority: P1
Summary: Console misses style range for quick output (1GL4R1L)
Resolution: FIXED"
46418,"Product: JDT
Component: Debug
Severity: normal
Priority: P2
Summary: PDE classpath containers not working for non-PDE applications
Resolution: FIXED"
380218,"Product: Platform
Component: Text
Severity: normal
Priority: P3
Summary: TUR4.2: Regular Expression \C violates the relation between doted I and dotless I in Turkish.
Resolution: FIXED"
79760,"Product: JDT
Component: Core
Severity: normal
Priority: P3
Summary: ASTRewrite should support replacing n nodes with m nodes to better maintain formatting
Resolution: FIXED"
159597,"Product: Platform
Component: UI
Severity: normal
Priority: P3
Summary: [Viewers] getRowPart(Point) behaves differently on Table than on Tree
Resolution: FIXED"
429553,"Product: Platform
Component: UI
Severity: normal
Priority: P3
Summary: [CSS] ColorDefinitions defined by CSS and modified by user are wrongly read from preference store
Resolution: FIXED"
68586,"Product: JDT
Component: Text
Severity: critical
Priority: P2
Summary: [implementation] Reconciling should be more robust
Resolution: FIXED"
79441,"Product: Platform
Component: UI
Severity: normal
Priority: P3
Summary: [Dialogs] Save As dialog not resizable
Resolution: FIXED"
63407,"Product: Platform
Component: UI
Severity: normal
Priority: P2
Summary: [JFace] image reading is unbuffered
Resolution: FIXED"
218293,"Product: PDE
Component: UI
Severity: enhancement
Priority: P3
Summary: [log view] log selection menu should be radio style
Resolution: FIXED"
292936,"Product: PDE
Component: UI
Severity: minor
Priority: P3
Summary: ""Plug-in with a property page"" template generates incorrect code
Resolution: FIXED"
26918,"Product: Platform
Component: Ant
Severity: normal
Priority: P1
Summary: Projects with external builders cause NPEs when built in headless mode
Resolution: FIXED"
106243,"Product: JDT
Component: Debug
Severity: normal
Priority: P3
Summary: clear detail formatter cache when 'max detail length' pref changes
Resolution: FIXED"
11923,"Product: Platform
Component: Debug
Severity: normal
Priority: P2
Summary: Console preference page needs reworking
Resolution: FIXED"
5139,"Product: JDT
Component: Debug
Severity: normal
Priority: P1
Summary: Remove SnippetSupportBreakpoint
Resolution: FIXED"
